index(int),item id(string),code (string),name(string),description(string),cost type(free|connect|coin),cost amount(int64),trigger(string),bg(alaska|antarctica|savanah|amazon),normal(A|B|C|D),fever(A|B|C|D),bgm,buff type(coin|score|reward),buff rate (a*value),buff add(a+value),star
21,item_cow,cow,fnf.theme.cow.name,fnf.theme.cow.desc,3,20000,trigger_cow,1,2,4,bgm0,0,0.5,100,11
22,item_rabbit,rabbit,fnf.theme.rabbit.name,fnf.theme.rabbit.desc,3,20000,trigger_rabbit,1,1,4,bgm0,0,0.5,1100,12
23,item_polarbear,polarbear,fnf.theme.polarbear.name,fnf.theme.polarbear.desc,3,21000,trigger_polarbear,2,3,4,bgm0,0,0.5,110,12
24,item_jindo,jindo,fnf.theme.jindo.name,fnf.theme.jindo.desc,3,22000,trigger_jindo,1,3,4,bgm0,0,0.5,1200,12
25,item_persian,persian,fnf.theme.persian.name,fnf.theme.persian.desc,3,23100,trigger_persian,1,3,4,bgm0,0,0.5,120,12
26,item_chicken,chicken,fnf.theme.chicken.name,fnf.theme.chicken.desc,3,24150,trigger_chicken,1,3,4,bgm0,0,0.5,1300,12
27,item_giraffe,giraffe,fnf.theme.giraffe.name,fnf.theme.giraffe.desc,3,24150,trigger_giraffe,3,2,4,bgm0,0,0.5,130,12
28,item_pomeranian,pomeranian,fnf.theme.pomeranian.name,fnf.theme.pomeranian.desc,3,25200,trigger_pomeranian,1,2,4,bgm0,0,0.5,1400,12
29,item_lion,lion,fnf.theme.lion.name,fnf.theme.lion.desc,3,25200,trigger_lion,3,1,4,bgm0,0,0.5,140,12
30,item_pigblack,pigblack,fnf.theme.pigblack.name,fnf.theme.pigblack.desc,3,27500,trigger_pigblack,1,1,4,bgm0,0,0.5,1500,12
31,item_cameleon,cameleon,fnf.theme.cameleon.name,fnf.theme.cameleon.desc,3,27500,trigger_cameleon,4,3,4,bgm0,0,0.5,150,12
32,item_pomewhite,pomewhite,fnf.theme.pomewhite.name,fnf.theme.pomewhite.desc,3,28600,trigger_pomewhite,1,3,4,bgm0,0,0.5,1600,12
33,item_raccoon,raccoon,fnf.theme.raccoon.name,fnf.theme.raccoon.desc,3,28600,trigger_raccoon,1,1,4,bgm0,0,0.5,160,12
34,item_alpaca,alpaca,fnf.theme.alpaca.name,fnf.theme.alpaca.desc,3,29700,trigger_alpaca,3,3,4,bgm0,0,0.5,1700,12
35,item_elephant,elephant,fnf.theme.elephant.name,fnf.theme.elephant.desc,3,29700,trigger_elephant,3,1,4,bgm0,0,0.5,170,12
36,item_panda,panda,fnf.theme.panda.name,fnf.theme.panda.desc,3,30800,trigger_panda,1,1,4,bgm0,0,0.5,1800,12
