"fnf.lang.arabic","العربية"
"fnf.theme.jindo.name","JD"
"fnf.theme.lion.desc","コインの獲得量が永久的に少し増えます。"
"fnf.theme.lion.name","王子さん"
"fnf.theme.lioness.desc","広告補償コインが永久的に少し増えます。"
"fnf.theme.lioness.name","お姫さん"
"fnf.theme.loli.desc","広告補償コインが永久的に少し増えます。"
"fnf.theme.loli.name","ロリ"
"fnf.theme.naru.desc","コインの獲得量が永久的に少し増えます。"
"fnf.theme.naru.name","ナル"
"fnf.theme.otter.desc","広告補償コインが永久的に少し増えます。"
"fnf.theme.otter.name","クッキー"
"fnf.theme.panda.desc","広告補償コインが永久的に少し増えます。"
"fnf.theme.panda.name","マオピン"
"fnf.theme.penguin.desc","広告補償コインが永久的に少し増えます。"
"fnf.theme.penguin.name","ペン"
"fnf.theme.persian.desc","コインの獲得量が永久的に少し増えます。"
"fnf.theme.persian.name","スパイS."
"fnf.theme.pig.desc","コインの獲得量が永久的に少し増えます。"
"fnf.theme.pig.name","プチ"
"fnf.theme.pigblack.desc","広告補償コインが永久的に少し増えます。"
"fnf.theme.pigblack.name","デカちゃん"
"fnf.theme.polarbear.desc","コインの獲得量が永久的に少し増えます。"
"fnf.theme.polarbear.name","コーラ"
"fnf.theme.pomeranian.desc","広告補償コインが永久的に少し増えます。"
"fnf.theme.pomeranian.name","シュン"
"fnf.theme.pomewhite.desc","広告補償コインが永久的に少し増えます。"
"fnf.theme.pomewhite.name","シロさん"
"fnf.theme.rabbit.desc","広告補償コインが永久的に少し増えます。"
"fnf.theme.rabbit.name","モチちゃん"
"fnf.theme.raccoon.desc","コインの獲得量が永久的に少し増えます。"
"fnf.theme.raccoon.name","チョコ"
"fnf.theme.santa.desc","広告補償コインが永久的に少し増えます。"
"fnf.theme.santa.name","サンタ"
"fnf.theme.sealion.desc","広告補償コインが永久的に少し増えます。"
"fnf.theme.sealion.name","クク"
"fnf.theme.sheep.desc","コインの獲得量が永久的に少し増えます。"
"fnf.theme.sheep.name","メロー"
"fnf.theme.soan.desc","コインの獲得量が永久的に少し増えます。"
"fnf.theme.soan.name","チビ"
"fnf.theme.welshcorgi.desc","コインの獲得量が永久的に少し増えます。"
"fnf.theme.welshcorgi.name","ヘーゼル"
"fnf.ui.best","最高点"
"fnf.ui.bi","98b50e41ba2120b4aa2a56ced78d6336"
"fnf.ui.buy","購入"
"fnf.ui.clear","オメデトウ！全てのレベルを完成しましたね。"
"fnf.ui.connect","接続します"
"fnf.ui.connect.error.fail","ログインに失敗しました"
"fnf.ui.connect.error.net","ネットワーク接続エラーはありません"
"fnf.ui.connect.login","ログイン"
"fnf.ui.connect.logout","ログアウト"
"fnf.ui.connect.wait","待ちます"
"fnf.ui.credits","Credits"
"fnf.ui.erase","邪魔な箱をクリックして消してください。"
"fnf.ui.gameover","Gameover"
"fnf.ui.home","ホーム"
"fnf.ui.language","LANGUAGE"
"fnf.ui.mute","Sound off"
"fnf.ui.nomoremove","これ以上動けません。"
"fnf.ui.ok","確認"
"fnf.ui.oops","残念！再挑戦してください。"
"fnf.ui.option","オプション"
"fnf.ui.pause","Pause"
"fnf.ui.paw","猫の手を使って箱を消しますか？"
"fnf.ui.rank","順位"
"fnf.ui.restore","購入復旧"
"fnf.ui.retry","リスタート"
"fnf.ui.reward","ボーナス"
"fnf.ui.share","共有する"
"fnf.ui.start","スタート"
"fnf.ui.title","プルプルペット"
"fnf.ui.tutorial","チュートリアル"
"fnf.ui.tutorial.1","画面をスライドすると箱が動けます。"
"fnf.ui.tutorial.2","2つの同じ箱を合わせると箱が進化します。"
"fnf.ui.tutorial.3","これ以上動けないとゲームオーバー。"
"fnf.ui.tutorial.4","各動物テーマの全レベルを完了して最高点を狙ってください。"
"fnf.ui.unmute","Sound on"
"fnf.ui.victory","Victory"
"fnf.ui.yes","使います。"
