"fnf.lang.arabic","العربية"
"fnf.theme.hippopotamus.name","Hippo"
"fnf.theme.horse.desc","Acquisizione quantità di monete aumenterà permanentemente poco."
"fnf.theme.horse.name","Homer"
"fnf.theme.jindo.desc","Bonus Pubblicità moneta aumenterà in modo permanente poco."
"fnf.theme.jindo.name","JD"
"fnf.theme.lion.desc","Acquisizione quantità di monete aumenterà permanentemente poco."
"fnf.theme.lion.name","Mr.King"
"fnf.theme.lioness.desc","Bonus Pubblicità moneta aumenterà in modo permanente poco."
"fnf.theme.lioness.name","Mrs.King"
"fnf.theme.loli.desc","Bonus Pubblicità moneta aumenterà in modo permanente poco."
"fnf.theme.loli.name","Lory"
"fnf.theme.naru.desc","Acquisizione quantità di monete aumenterà permanentemente poco."
"fnf.theme.naru.name","Naru"
"fnf.theme.otter.desc","Bonus Pubblicità moneta aumenterà in modo permanente poco."
"fnf.theme.otter.name","Ott-meal"
"fnf.theme.panda.desc","Bonus Pubblicità moneta aumenterà in modo permanente poco."
"fnf.theme.panda.name","Mao Ping"
"fnf.theme.penguin.desc","Bonus Pubblicità moneta aumenterà in modo permanente poco."
"fnf.theme.penguin.name","Bully"
"fnf.theme.persian.desc","Acquisizione quantità di monete aumenterà permanentemente poco."
"fnf.theme.persian.name","Agent S."
"fnf.theme.pig.desc","Acquisizione quantità di monete aumenterà permanentemente poco."
"fnf.theme.pig.name","Babe"
"fnf.theme.pigblack.desc","Bonus Pubblicità moneta aumenterà in modo permanente poco."
"fnf.theme.pigblack.name","Dave"
"fnf.theme.polarbear.desc","Acquisizione quantità di monete aumenterà permanentemente poco."
"fnf.theme.polarbear.name","Cola"
"fnf.theme.pomeranian.desc","Bonus Pubblicità moneta aumenterà in modo permanente poco."
"fnf.theme.pomeranian.name","Woofy"
"fnf.theme.pomewhite.desc","Bonus Pubblicità moneta aumenterà in modo permanente poco."
"fnf.theme.pomewhite.name","Wacky"
"fnf.theme.rabbit.desc","Bonus Pubblicità moneta aumenterà in modo permanente poco."
"fnf.theme.rabbit.name","Brownie"
"fnf.theme.raccoon.desc","Acquisizione quantità di monete aumenterà permanentemente poco."
"fnf.theme.raccoon.name","Choco"
"fnf.theme.santa.desc","Bonus Pubblicità moneta aumenterà in modo permanente poco."
"fnf.theme.santa.name","Santa"
"fnf.theme.sealion.desc","Bonus Pubblicità moneta aumenterà in modo permanente poco."
"fnf.theme.sealion.name","Aniki"
"fnf.theme.sheep.desc","Acquisizione quantità di monete aumenterà permanentemente poco."
"fnf.theme.sheep.name","Mellow"
"fnf.theme.soan.desc","Acquisizione quantità di monete aumenterà permanentemente poco."
"fnf.theme.soan.name","Small-eye"
"fnf.theme.welshcorgi.desc","Acquisizione quantità di monete aumenterà permanentemente poco."
"fnf.theme.welshcorgi.name","Hazel"
"fnf.ui.best","Miglior punteggio"
"fnf.ui.bi","override=en"
"fnf.ui.buy","Acquisto"
"fnf.ui.clear","Congratulazioni! Tutti i livello cancellato"
"fnf.ui.connect","Collegare"
"fnf.ui.connect.error.fail","accesso non riuscito"
"fnf.ui.connect.error.net","Nessun errore di connessione di rete"
"fnf.ui.connect.login","ACCOUNT DI ACCESSO"
"fnf.ui.connect.logout","LOGOUT"
"fnf.ui.connect.wait","attendere prego"
"fnf.ui.credits","Crediti"
"fnf.ui.erase","Tocca la casella che si desidera cancellare"
"fnf.ui.gameover","Gameover"
"fnf.ui.home","Casa"
"fnf.ui.language","Lingua"
"fnf.ui.mute","Audio disattivato"
"fnf.ui.nomoremove","Basta spostare"
"fnf.ui.ok","Ok"
"fnf.ui.oops","Oops! Fare meglio la prossima volta!"
"fnf.ui.option","Opzione"
"fnf.ui.pause","Pausa"
"fnf.ui.paw","zampa di cancellare?"
"fnf.ui.rank","Rango"
"fnf.ui.restore","Ripristino"
"fnf.ui.retry","Riprova"
"fnf.ui.reward","Bonus"
"fnf.ui.share","Condividi"
"fnf.ui.start","Inizio"
"fnf.ui.title","Animal Bang"
"fnf.ui.tutorial","Tutorial"
"fnf.ui.tutorial.1","passare il dito per spostare le caselle"
"fnf.ui.tutorial.2","combinare due alcune scatole per ottenere una più grande"
"fnf.ui.tutorial.3","È finita quando c'è non più mossa"
"fnf.ui.tutorial.4","completare tutti i livelli di ogni tema animali"
"fnf.ui.unmute","Suono su"
"fnf.ui.victory","Victory"
"fnf.ui.yes","Sì, per favore!"
