"fnf.lang.arabic","العربية"
"fnf.theme.hippopotamus.name","Hippo"
"fnf.theme.horse.desc","Valor de aquisição de moedas irá aumentar permanentemente pouco."
"fnf.theme.horse.name","Homer"
"fnf.theme.jindo.desc","Moeda bônus publicidade irá aumentar permanentemente pouco."
"fnf.theme.jindo.name","JD"
"fnf.theme.lion.desc","Valor de aquisição de moedas irá aumentar permanentemente pouco."
"fnf.theme.lion.name","Mr.King"
"fnf.theme.lioness.desc","Moeda bônus publicidade irá aumentar permanentemente pouco."
"fnf.theme.lioness.name","Mrs.King"
"fnf.theme.loli.desc","Moeda bônus publicidade irá aumentar permanentemente pouco."
"fnf.theme.loli.name","Lory"
"fnf.theme.naru.desc","Valor de aquisição de moedas irá aumentar permanentemente pouco."
"fnf.theme.naru.name","Naru"
"fnf.theme.otter.desc","Moeda bônus publicidade irá aumentar permanentemente pouco."
"fnf.theme.otter.name","Ott-meal"
"fnf.theme.panda.desc","Moeda bônus publicidade irá aumentar permanentemente pouco."
"fnf.theme.panda.name","Mao Ping"
"fnf.theme.penguin.desc","Moeda bônus publicidade irá aumentar permanentemente pouco."
"fnf.theme.penguin.name","Bully"
"fnf.theme.persian.desc","Valor de aquisição de moedas irá aumentar permanentemente pouco."
"fnf.theme.persian.name","Agent S."
"fnf.theme.pig.desc","Valor de aquisição de moedas irá aumentar permanentemente pouco."
"fnf.theme.pig.name","Babe"
"fnf.theme.pigblack.desc","Moeda bônus publicidade irá aumentar permanentemente pouco."
"fnf.theme.pigblack.name","Dave"
"fnf.theme.polarbear.desc","Valor de aquisição de moedas irá aumentar permanentemente pouco."
"fnf.theme.polarbear.name","Cola"
"fnf.theme.pomeranian.desc","Moeda bônus publicidade irá aumentar permanentemente pouco."
"fnf.theme.pomeranian.name","Woofy"
"fnf.theme.pomewhite.desc","Moeda bônus publicidade irá aumentar permanentemente pouco."
"fnf.theme.pomewhite.name","Wacky"
"fnf.theme.rabbit.desc","Moeda bônus publicidade irá aumentar permanentemente pouco."
"fnf.theme.rabbit.name","Brownie"
"fnf.theme.raccoon.desc","Valor de aquisição de moedas irá aumentar permanentemente pouco."
"fnf.theme.raccoon.name","Choco"
"fnf.theme.santa.desc","Moeda bônus publicidade irá aumentar permanentemente pouco."
"fnf.theme.santa.name","Santa"
"fnf.theme.sealion.desc","Moeda bônus publicidade irá aumentar permanentemente pouco."
"fnf.theme.sealion.name","Aniki"
"fnf.theme.sheep.desc","Valor de aquisição de moedas irá aumentar permanentemente pouco."
"fnf.theme.sheep.name","Mellow"
"fnf.theme.soan.desc","Valor de aquisição de moedas irá aumentar permanentemente pouco."
"fnf.theme.soan.name","Small-eye"
"fnf.theme.welshcorgi.desc","Valor de aquisição de moedas irá aumentar permanentemente pouco."
"fnf.theme.welshcorgi.name","Hazel"
"fnf.ui.best","Melhor trilha sonora"
"fnf.ui.bi","override=en"
"fnf.ui.buy","Compra"
"fnf.ui.clear","Parabéns! Limpo de todos os níveis"
"fnf.ui.connect","Conectar-se"
"fnf.ui.connect.error.fail","falhado de logon"
"fnf.ui.connect.error.net","nenhum erro de conexão de rede"
"fnf.ui.connect.login","LOGIN"
"fnf.ui.connect.logout","LOGOUT"
"fnf.ui.connect.wait","Espere por favor"
"fnf.ui.credits","Créditos"
"fnf.ui.erase","Toque na caixa que deseja apagar"
"fnf.ui.gameover","Gameover"
"fnf.ui.home","Casa"
"fnf.ui.language","Língua"
"fnf.ui.mute","Som desligado"
"fnf.ui.nomoremove","Não há mais movimento"
"fnf.ui.ok","Razoável"
"fnf.ui.oops","Opa! Fazer melhor da próxima vez!"
"fnf.ui.option","Opção"
"fnf.ui.pause","Pausa"
"fnf.ui.paw","pata de apagar?"
"fnf.ui.rank","Rank"
"fnf.ui.restore","Restauração"
"fnf.ui.retry","Tente novamente"
"fnf.ui.reward","Bônus"
"fnf.ui.share","Compartilhar"
"fnf.ui.start","Início"
"fnf.ui.title","Animal Bang"
"fnf.ui.tutorial","Tutorial"
"fnf.ui.tutorial.1","furto de mover as caixas"
"fnf.ui.tutorial.2","combinar duas caixas para obter um maior"
"fnf.ui.tutorial.3","Acabou quando há não mais movimento"
"fnf.ui.tutorial.4","completar todos os níveis de cada tema animal"
"fnf.ui.unmute","Som na"
"fnf.ui.victory","Victory"
"fnf.ui.yes","Sim, por favor!"
