fnf.theme.lioness.name,狮母,,,
fnf.theme.loli.desc,奖励式广告硬币会持续的微幅增加.,,,
fnf.theme.loli.name,萝莉,,,
fnf.theme.naru.desc,取得的硬币数会持续微幅增加,,,
fnf.theme.naru.name,纳鲁,,,
fnf.theme.otter.desc,奖励式广告硬币会持续的微幅增加.,,,
fnf.theme.otter.name,小饼,,,
fnf.theme.panda.desc,奖励式广告硬币会持续的微幅增加.,,,
fnf.theme.panda.name,圆仔,,,
fnf.theme.penguin.desc,奖励式广告硬币会持续的微幅增加.,,,
fnf.theme.penguin.name,小企,,,
fnf.theme.persian.desc,取得的硬币数会持续微幅增加,,,
fnf.theme.persian.name,馒头,,,
fnf.theme.pig.desc,取得的硬币数会持续微幅增加,,,
fnf.theme.pig.name,存钱筒,,,
fnf.theme.pigblack.desc,奖励式广告硬币会持续的微幅增加.,,,
fnf.theme.pigblack.name,黑仔,,,
fnf.theme.polarbear.desc,取得的硬币数会持续微幅增加,,,
fnf.theme.polarbear.name,可乐,,,
fnf.theme.pomeranian.desc,奖励式广告硬币会持续的微幅增加.,,,
fnf.theme.pomeranian.name,小美,,,
fnf.theme.pomewhite.desc,奖励式广告硬币会持续的微幅增加.,,,
fnf.theme.pomewhite.name,小白,,,
fnf.theme.rabbit.desc,奖励式广告硬币会持续的微幅增加.,,,
fnf.theme.rabbit.name,糯米团,,,
fnf.theme.raccoon.desc,取得的硬币数会持续微幅增加,,,
fnf.theme.raccoon.name,小浣,,,
fnf.theme.santa.desc,奖励式广告硬币会持续的微幅增加.,,,
fnf.theme.santa.name,圣诞,,,
fnf.theme.sealion.desc,奖励式广告硬币会持续的微幅增加.,,,
fnf.theme.sealion.name,酷酷,,,
fnf.theme.sheep.desc,取得的硬币数会持续微幅增加,,,
fnf.theme.sheep.name,棉花糖,,,
fnf.theme.soan.desc,取得的硬币数会持续微幅增加,,,
fnf.theme.soan.name,小安,,,
fnf.theme.welshcorgi.desc,取得的硬币数会持续微幅增加,,,
fnf.theme.welshcorgi.name,柯基,,,
fnf.ui.best,最高分数,,,
fnf.ui.bi,,,,
fnf.ui.buy,购买,,,
fnf.ui.clear,您已经完成了所有阶段！恭喜~,,,
fnf.ui.connect,接,,,
fnf.ui.connect.error.fail,登录失败,,,
fnf.ui.connect.error.net,没有网络连接错误,,,
fnf.ui.connect.login,登录,,,
fnf.ui.connect.logout,登出,,,
fnf.ui.connect.wait,请等一下,,,
fnf.ui.credits,制作者,,,
fnf.ui.erase,请点选删除妨碍的箱子,,,
fnf.ui.gameover,GAMEOVER,,,
fnf.ui.home,回首页,,,
fnf.ui.language,语言,,,
fnf.ui.mute,静音,,,
fnf.ui.nomoremove,无法再移动,,,
fnf.ui.ok,确定,,,
fnf.ui.oops,真可惜~请再挑战看看~,,,
fnf.ui.option,选项,,,
fnf.ui.pause,暂停,,,
fnf.ui.paw,可以使用猫咪手来移除箱子吗？,,,
fnf.ui.rank,排名,,,
fnf.ui.restore,购买复原,,,
fnf.ui.retry,重新开始,,,
fnf.ui.reward,奖励,,,
fnf.ui.share,分享,,,
fnf.ui.start,开始,,,
fnf.ui.title,2048 动物风暴,,,
fnf.ui.tutorial,教程,,,
fnf.ui.tutorial.1,可以用手在屏幕上移动箱子,,,
fnf.ui.tutorial.2,"碰到两个相同箱子时
会合成一个！",,,
fnf.ui.tutorial.3,无法移动时就代表结束,,,
fnf.ui.tutorial.4,"试着以新的主题
制作更大的箱子吧！",,,
fnf.ui.unmute,声音开启,,,
fnf.ui.victory,VICTORY,,,
fnf.ui.yes,我要使用!!,,,
