"fnf.lang.arabic","العربية"
"fnf.theme.jindo.desc","광고보상 코인이 영구적으로 조금 증가합니다."
"fnf.theme.jindo.name","진돗개"
"fnf.theme.lion.desc","코인 획득량이 영구적으로 조금 증가합니다"
"fnf.theme.lion.name","사자"
"fnf.theme.lioness.desc","광고보상 코인이 영구적으로 조금 증가합니다."
"fnf.theme.lioness.name","암사자"
"fnf.theme.loli.desc","광고보상 코인이 영구적으로 조금 증가합니다."
"fnf.theme.loli.name","로리"
"fnf.theme.naru.desc","코인 획득량이 영구적으로 조금 증가합니다"
"fnf.theme.naru.name","나르"
"fnf.theme.otter.desc","광고보상 코인이 영구적으로 조금 증가합니다."
"fnf.theme.otter.name","수달"
"fnf.theme.panda.desc","광고보상 코인이 영구적으로 조금 증가합니다."
"fnf.theme.panda.name","팬더"
"fnf.theme.penguin.desc","광고보상 코인이 영구적으로 조금 증가합니다."
"fnf.theme.penguin.name","펭귄"
"fnf.theme.persian.desc","코인 획득량이 영구적으로 조금 증가합니다"
"fnf.theme.persian.name","만두"
"fnf.theme.pig.desc","코인 획득량이 영구적으로 조금 증가합니다"
"fnf.theme.pig.name","저금통"
"fnf.theme.pigblack.desc","광고보상 코인이 영구적으로 조금 증가합니다."
"fnf.theme.pigblack.name","흑돼지"
"fnf.theme.polarbear.desc","코인 획득량이 영구적으로 조금 증가합니다"
"fnf.theme.polarbear.name","콜라곰"
"fnf.theme.pomeranian.desc","광고보상 코인이 영구적으로 조금 증가합니다."
"fnf.theme.pomeranian.name","슌"
"fnf.theme.pomewhite.desc","광고보상 코인이 영구적으로 조금 증가합니다."
"fnf.theme.pomewhite.name","흰둥이"
"fnf.theme.rabbit.desc","광고보상 코인이 영구적으로 조금 증가합니다."
"fnf.theme.rabbit.name","토끼"
"fnf.theme.raccoon.desc","코인 획득량이 영구적으로 조금 증가합니다"
"fnf.theme.raccoon.name","너구리"
"fnf.theme.santa.desc","광고보상 코인이 영구적으로 조금 증가합니다."
"fnf.theme.santa.name","산타"
"fnf.theme.sealion.desc","광고보상 코인이 영구적으로 조금 증가합니다."
"fnf.theme.sealion.name","바다사자"
"fnf.theme.sheep.desc","코인 획득량이 영구적으로 조금 증가합니다"
"fnf.theme.sheep.name","양"
"fnf.theme.soan.desc","코인 획득량이 영구적으로 조금 증가합니다"
"fnf.theme.soan.name","소안이"
"fnf.theme.welshcorgi.desc","코인 획득량이 영구적으로 조금 증가합니다"
"fnf.theme.welshcorgi.name","웰시코기"
"fnf.ui.best","최고점수"
"fnf.ui.bi","1b2182f27f39f47b9bc7381a30e19c0f"
"fnf.ui.buy","구매"
"fnf.ui.credits","만든사람"
"fnf.ui.home","처음으로"
"fnf.ui.language","언어"
"fnf.ui.mute","음소거"
"fnf.ui.ok","확인"
"fnf.ui.option","옵션"
"fnf.ui.pause","멈춤"
"fnf.ui.portugues","português"
"fnf.ui.rank","순위"
"fnf.ui.restore","구매복구"
"fnf.ui.retry","다시시작"
"fnf.ui.reward","보너스"
"fnf.ui.share","공유"
"fnf.ui.start","시작"
"fnf.ui.title","쫀득쫀득"
"fnf.ui.tutorial","튜토리얼"
"fnf.ui.tutorial.1","화면을 밀어 박스를 움직일 수 있어요"
"fnf.ui.tutorial.2","동일한 박스 두개가 만나면
하나로 합쳐져요!"
"fnf.ui.tutorial.3","더이상 움직일 수 없으면 끝"
"fnf.ui.tutorial.4","새로운 테마들로
더 커다란 박스를 만들어 보세요!"
"fnf.ui.unmute","소리재생"
